IDENTIFIKATOR_KLIJENTA,DOB,VRSTA_ZAPOSLENJA,SEGMENT,PRIORITY_SCORE,CLV_SCORE,CHURN_RISK,FUTURE_POTENTIAL,RANG_PONUDE,PROIZVOD,RAZLOG,ZARADA_BANKE,KANAL,PONUDA_SCORE
E9X1I0I85333,69,UMIROVLJENIK,ODRŽAVAJ,30.7,57.1,5.7,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 29 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
0ICSHY728TIW,61,ZAPOSLEN,ODRŽAVAJ,30.7,15.2,46.7,27.0,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 20 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
KKUXTWR1K0KA,77,UMIROVLJENIK,ODRŽAVAJ,30.7,38.3,22.3,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 30 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
CMM5AF024DUV,56,UMIROVLJENIK,ODRŽAVAJ,30.7,47.0,12.2,17.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 20 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
DV9VOMS66L2N,84,UMIROVLJENIK,ODRŽAVAJ,30.7,60.7,2.8,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 28 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
H9LVH0RWDJSM,60,ZAPOSLEN,RAZVIJAJ PREMIUM,30.7,10.4,20.0,76.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
8E78KNKWC9KG,76,UMIROVLJENIK,ODRŽAVAJ,30.7,46.2,15.5,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 10 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,85
W26TD0ZQMU12,26,ZAPOSLEN,RAZVIJAJ PREMIUM,30.7,13.1,22.1,69.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
JCFF9TL2F8W7,70,UMIROVLJENIK,ODRŽAVAJ,30.7,60.9,1.3,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 30 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
HR7M8KZN60W4,85,UMIROVLJENIK,ODRŽAVAJ,30.7,61.7,0.4,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 27 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
XBKJ4BMN5RSA,75,UMIROVLJENIK,ODRŽAVAJ,30.7,56.8,6.2,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 20 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
KQEOFKJR7U87,38,OSTALO,RAZVIJAJ PREMIUM,30.7,35.3,2.2,50.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
JCFF9TL2F8W7,70,UMIROVLJENIK,ODRŽAVAJ,30.7,60.9,1.3,15.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 5,527€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,99
HR7M8KZN60W4,85,UMIROVLJENIK,ODRŽAVAJ,30.7,61.7,0.4,15.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 2,901€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,91
XBKJ4BMN5RSA,75,UMIROVLJENIK,ODRŽAVAJ,30.7,56.8,6.2,13.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 7,225€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,88
YPP0ZOFEMVD6,80,UMIROVLJENIK,ODRŽAVAJ,30.6,52.2,5.3,21.0,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 10 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,88
1FVBC10J8GHX,31,ZAPOSLEN,RAZVIJAJ,30.6,8.0,20.0,79.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
PB5LROMCBBJR,55,ZAPOSLEN,ODRŽAVAJ,30.6,10.8,47.6,31.0,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 20 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
9NIQWGX9ZPI6,44,ZAPOSLEN,RAZVIJAJ PREMIUM,30.6,34.6,20.0,42.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
MGLSETXQ823P,75,UMIROVLJENIK,ODRŽAVAJ,30.6,50.6,10.1,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 11 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,88
6YONA20RO2YW,69,UMIROVLJENIK,ODRŽAVAJ,30.6,43.9,17.1,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 26 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
IE7XI9ZWR7ZB,85,UMIROVLJENIK,ODRŽAVAJ,30.6,60.3,2.9,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 25 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
E5TX0FL2LKUD,30,ZAPOSLEN,RAZVIJAJ PREMIUM,30.6,15.4,20.0,69.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
EJ38FP96S493,30,ZAPOSLEN,RAZVIJAJ PREMIUM,30.6,29.6,4.9,73.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
SC5P1GNTWDZ0,60,NEZAPOSLEN,ODRŽAVAJ,30.6,9.3,52.7,25.0,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 1 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,8
A0EGQXZ0W3J6,84,UMIROVLJENIK,ODRŽAVAJ,30.6,61.2,0.9,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 26 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
N0POE15DRN1T,46,ZAPOSLEN,RAZVIJAJ,30.6,3.7,47.1,42.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
4HEYTMXGOWOS,77,UMIROVLJENIK,ODRŽAVAJ,30.6,61.6,1.8,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 26 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
PSKGTSBQO4C7,83,UMIROVLJENIK,ODRŽAVAJ,30.6,59.2,3.8,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 26 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
A0EGQXZ0W3J6,84,UMIROVLJENIK,ODRŽAVAJ,30.6,61.2,0.9,15.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 36,277€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,99
4HEYTMXGOWOS,77,UMIROVLJENIK,ODRŽAVAJ,30.6,61.6,1.8,13.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 13,974€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,99
PSKGTSBQO4C7,83,UMIROVLJENIK,ODRŽAVAJ,30.6,59.2,3.8,13.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 11,433€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,99
AGKPKMVDODBF,78,UMIROVLJENIK,ODRŽAVAJ,30.5,56.7,4.3,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 30 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
E68LO3YIJHQQ,74,UMIROVLJENIK,ODRŽAVAJ,30.5,45.0,11.3,21.0,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 10 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,83
JLD353UQA4FV,85,UMIROVLJENIK,ODRŽAVAJ,30.5,47.4,12.5,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 27 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
LGIY87EV755Y,73,UMIROVLJENIK,ODRŽAVAJ,30.5,63.2,0.0,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 27 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
ZHQTJ0H7YJWD,67,OSTALO,ODRŽAVAJ,30.5,41.9,10.1,27.0,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 29 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
51TW9B6BQ4BT,44,ZAPOSLEN,RAZVIJAJ PREMIUM,30.5,24.2,20.0,56.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
H1E5WFNLEEO2,52,ZAPOSLEN,ODRŽAVAJ,30.5,48.1,2.2,31.0,1,Oročeni depozit — posebna kamata za lojalne,"Stanje 58,056€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,99
EG3QSMYIWLH5,61,OSTALO,ODRŽAVAJ,30.5,11.6,49.3,27.0,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 20 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
49M6Q25SV398,83,UMIROVLJENIK,ODRŽAVAJ,30.5,50.9,10.6,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 26 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
DBNTNB1RJLCG,76,UMIROVLJENIK,ODRŽAVAJ,30.5,62.9,0.2,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 11 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,94
JLD353UQA4FV,85,UMIROVLJENIK,ODRŽAVAJ,30.5,47.4,12.5,15.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 3,017€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,91
51TW9B6BQ4BT,44,ZAPOSLEN,RAZVIJAJ PREMIUM,30.5,24.2,20.0,56.0,2,Hipotekarni kredit,"Stabilan klijent 16 god., prihodi 28,479€/mj.",Kamate 20-30 god.,Osobni savjetnik,84
H1E5WFNLEEO2,52,ZAPOSLEN,ODRŽAVAJ,30.5,48.1,2.2,31.0,2,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 10 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,86
49M6Q25SV398,83,UMIROVLJENIK,ODRŽAVAJ,30.5,50.9,10.6,13.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 4,303€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,96
C1ZD0LXYXG0K,75,UMIROVLJENIK,ODRŽAVAJ,30.4,50.6,9.5,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 14 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
941NOKG6KOVJ,52,ZAPOSLEN,RAZVIJAJ PREMIUM,30.4,25.8,22.2,50.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
9IV4W68L7WS3,31,ZAPOSLEN,RAZVIJAJ PREMIUM,30.4,35.9,13.3,50.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
1JFZQRX2IZHP,33,NEZAPOSLEN,RAZVIJAJ PREMIUM,30.4,40.0,0.9,44.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
G35B4GCAG2K8,33,NEZAPOSLEN,RAZVIJAJ PREMIUM,30.4,42.6,5.0,54.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
TEQ46VCAPNHV,84,UMIROVLJENIK,ODRŽAVAJ,30.4,49.3,12.0,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 26 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
4T5GXYZW8WZ2,65,UMIROVLJENIK,ODRŽAVAJ,30.4,36.9,21.5,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 10 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,80
GSXKWDSBDLHF,79,UMIROVLJENIK,ODRŽAVAJ,30.4,58.1,3.1,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 27 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
0SVIRXVQK0NK,46,ZAPOSLEN,RAZVIJAJ,30.4,6.6,44.0,42.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
F31MVY1ZM6WY,79,UMIROVLJENIK,ODRŽAVAJ,30.4,38.4,21.3,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 20 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
E2GZABZDO0QQ,66,POLJOPRIVREDNIK,ODRŽAVAJ,30.4,18.9,40.0,31.0,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 22 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
UKRYPCYIHUT4,72,UMIROVLJENIK,ODRŽAVAJ,30.4,61.4,0.0,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 28 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
4I7J10DA9BI4,86,UMIROVLJENIK,ODRŽAVAJ,30.4,42.6,17.8,13.5,1,Oročeni depozit — posebna kamata za lojalne,"Stanje 15,857€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,70
RP103ZA7AUJF,42,ZAPOSLEN,RAZVIJAJ PREMIUM,30.4,24.0,20.0,56.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
4LXFSDP9D1FF,47,ZAPOSLEN,RAZVIJAJ PREMIUM,30.4,11.4,28.5,60.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
N6C34CMSU9N9,66,UMIROVLJENIK,ODRŽAVAJ,30.4,57.7,4.7,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 26 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
IWME5RQZADIF,59,NEZAPOSLEN,ODRŽAVAJ,30.4,9.0,52.4,25.0,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 10 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,64
U9QEKHK4F4LX,84,UMIROVLJENIK,ODRŽAVAJ,30.4,62.6,0.2,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 27 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
TEQ46VCAPNHV,84,UMIROVLJENIK,ODRŽAVAJ,30.4,49.3,12.0,13.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 14,741€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,99
UKRYPCYIHUT4,72,UMIROVLJENIK,ODRŽAVAJ,30.4,61.4,0.0,15.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 17,941€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,99
4I7J10DA9BI4,86,UMIROVLJENIK,ODRŽAVAJ,30.4,42.6,17.8,13.5,2,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 2 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,36
RP103ZA7AUJF,42,ZAPOSLEN,RAZVIJAJ PREMIUM,30.4,24.0,20.0,56.0,2,Hipotekarni kredit,"Stabilan klijent 17 god., prihodi 2,660€/mj.",Kamate 20-30 god.,Osobni savjetnik,45
N6C34CMSU9N9,66,UMIROVLJENIK,ODRŽAVAJ,30.4,57.7,4.7,13.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 2,273€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,88
KX2WJYTQ84CZ,18,OSTALO,RAZVIJAJ PREMIUM,30.3,24.3,20.0,55.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
2D2FYPBKGAMR,66,UMIROVLJENIK,ODRŽAVAJ,30.3,52.9,8.5,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 30 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
TLKXA4HQCVLU,61,UMIROVLJENIK,ODRŽAVAJ,30.3,59.0,3.2,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 31 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
JFCT8IIYVCUT,62,UMIROVLJENIK,ODRŽAVAJ,30.3,39.9,18.5,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 13 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,98
FIY1ZHDOHMPG,84,UMIROVLJENIK,ODRŽAVAJ,30.3,45.9,14.8,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 27 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
YZ73CGD5F797,70,UMIROVLJENIK,ODRŽAVAJ,30.3,58.9,3.3,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 30 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
RT12SNQ1WX0L,86,UMIROVLJENIK,ODRŽAVAJ,30.3,42.1,18.1,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 27 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
634EIKRB1274,79,UMIROVLJENIK,ODRŽAVAJ,30.3,44.2,16.1,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 19 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
MNFM8W36ZQN0,57,UMIROVLJENIK,ODRŽAVAJ,30.3,27.6,40.0,18.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 12 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,85
G29LS488XH6I,20,ZAPOSLEN,RAZVIJAJ PREMIUM,30.3,8.8,20.0,77.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
8WGNHCLWEEMM,65,UMIROVLJENIK,ODRŽAVAJ,30.3,59.0,1.8,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 18 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
G4KIRI220HA6,98,UMIROVLJENIK,ODRŽAVAJ,30.3,42.6,17.4,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 26 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
YFCK9ICI8EH3,74,UMIROVLJENIK,ODRŽAVAJ,30.3,59.2,3.1,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 3 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,50
LE0EABPVU2A4,55,OBRTNIK,RAZVIJAJ,30.3,6.9,49.1,33.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
5AGOUQ2QQPTN,74,UMIROVLJENIK,ODRŽAVAJ,30.3,48.7,12.1,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 27 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
H2I2COW9IXA4,70,UMIROVLJENIK,ODRŽAVAJ,30.3,59.3,1.7,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 19 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
RXVBL43PF6IJ,96,OSTALO,ODRŽAVAJ,30.3,21.6,40.0,27.0,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 23 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
4CVBH0ZW681A,61,ZAPOSLEN,ODRŽAVAJ,30.3,10.9,49.3,27.0,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 20 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
8YGP2M11F3LG,43,NEZAPOSLEN,RAZVIJAJ,30.3,4.8,49.1,36.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
HFVTZUMZEPHM,76,UMIROVLJENIK,ODRŽAVAJ,30.3,34.8,36.9,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 2 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,32
QCX591EBLARW,64,ZAPOSLEN,ODRŽAVAJ,30.3,52.5,0.4,27.0,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 26 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
QCL7AKA8R6FJ,29,ZAPOSLEN,RAZVIJAJ PREMIUM,30.3,14.4,20.0,69.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
CJ2BX8V2V2DP,73,UMIROVLJENIK,ODRŽAVAJ,30.3,10.4,33.3,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 20 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
YQWIXLHIC319,51,ZAPOSLEN,RAZVIJAJ PREMIUM,30.3,45.5,4.7,50.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
R38A95LWSIWP,50,ZAPOSLEN,RAZVIJAJ PREMIUM,30.3,18.0,20.0,64.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
2D2FYPBKGAMR,66,UMIROVLJENIK,ODRŽAVAJ,30.3,52.9,8.5,13.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 3,534€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,99
FIY1ZHDOHMPG,84,UMIROVLJENIK,ODRŽAVAJ,30.3,45.9,14.8,13.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 3,368€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,93
YZ73CGD5F797,70,UMIROVLJENIK,ODRŽAVAJ,30.3,58.9,3.3,13.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 10,168€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,99
634EIKRB1274,79,UMIROVLJENIK,ODRŽAVAJ,30.3,44.2,16.1,13.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 2,626€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,67
H2I2COW9IXA4,70,UMIROVLJENIK,ODRŽAVAJ,30.3,59.3,1.7,15.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 8,110€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,90
RXVBL43PF6IJ,96,OSTALO,ODRŽAVAJ,30.3,21.6,40.0,27.0,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 15,589€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,99
